locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBNEHJNM_00947	CDS	831	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
MBNEHJNM_00948	CDS	1080	dgcQ	2.7.7.65		putative diguanylate cyclase DgcQ
MBNEHJNM_00949	CDS	1326	tcyP		COG1823	L-cystine uptake protein TcyP
MBNEHJNM_00950	CDS	579				hypothetical protein
MBNEHJNM_00951	CDS	540	yhcN			Lipoprotein YhcN
MBNEHJNM_00952	CDS	903				hypothetical protein
MBNEHJNM_00953	CDS	669				hypothetical protein
MBNEHJNM_00954	CDS	1830	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
MBNEHJNM_00955	CDS	597				hypothetical protein
MBNEHJNM_00956	CDS	909	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
MBNEHJNM_00957	CDS	396				hypothetical protein
MBNEHJNM_00958	CDS	423	hrp1_1			Hypoxic response protein 1
MBNEHJNM_00959	CDS	690	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
MBNEHJNM_00960	CDS	1539	yafV_1	3.5.1.3		Omega-amidase YafV
MBNEHJNM_00961	CDS	1344	tpa	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
MBNEHJNM_00962	CDS	576	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
MBNEHJNM_00963	CDS	828	glpF		COG0580	Glycerol uptake facilitator protein
MBNEHJNM_00964	CDS	1491	glpK	2.7.1.30	COG0554	Glycerol kinase
MBNEHJNM_00965	CDS	1668	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
MBNEHJNM_00966	CDS	1743	pgcA	5.4.2.2		Phosphoglucomutase
MBNEHJNM_00967	CDS	1143	vraS	2.7.13.3	COG4585	Sensor protein VraS
MBNEHJNM_00968	CDS	645	liaR_1		COG2197	Transcriptional regulatory protein LiaR
MBNEHJNM_00969	CDS	525	azr	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
MBNEHJNM_00970	CDS	243				hypothetical protein
MBNEHJNM_00971	CDS	324				hypothetical protein
MBNEHJNM_00972	CDS	1455	lytF	3.4.-.-	COG0791	Peptidoglycan endopeptidase LytF
MBNEHJNM_00973	CDS	435	nsrR		COG1959	HTH-type transcriptional repressor NsrR
MBNEHJNM_00974	CDS	1515				hypothetical protein
MBNEHJNM_00975	CDS	1407				hypothetical protein
MBNEHJNM_00976	CDS	1380	phoA	3.1.3.1	COG1785	Alkaline phosphatase 4
MBNEHJNM_00977	CDS	825	lytE	3.4.-.-		putative peptidoglycan endopeptidase LytE
MBNEHJNM_00978	CDS	876	cysL_1		COG0583	HTH-type transcriptional regulator CysL
MBNEHJNM_00979	CDS	1110	citA	2.3.3.16	COG0372	Citrate synthase 1
MBNEHJNM_00980	CDS	870	ydaD_2	1.-.-.-		General stress protein 39
MBNEHJNM_00981	CDS	1404	yhdG_2		COG0531	putative amino acid permease YhdG
MBNEHJNM_00982	CDS	1308				hypothetical protein
MBNEHJNM_00983	CDS	291	yhdK			putative anti-sigma-M factor YhdK
MBNEHJNM_00984	CDS	1074	yhdL			putative anti-sigma-M factor YhdL
MBNEHJNM_00985	CDS	492	sigM		COG1595	ECF RNA polymerase sigma factor SigM
MBNEHJNM_00986	CDS	600	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
MBNEHJNM_00987	CDS	1335				hypothetical protein
MBNEHJNM_00988	CDS	426	merR1			Mercuric resistance operon regulatory protein
MBNEHJNM_00989	CDS	1185	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
MBNEHJNM_00990	CDS	1245	pksF	4.1.1.87	COG0304	Polyketide biosynthesis malonyl-ACP decarboxylase PksF
MBNEHJNM_00991	CDS	1389				hypothetical protein
MBNEHJNM_00992	CDS	360	crcB_1		COG0239	Putative fluoride ion transporter CrcB
MBNEHJNM_00993	CDS	396	crcB_2		COG0239	Putative fluoride ion transporter CrcB
MBNEHJNM_00994	CDS	717	glpQ_2	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
MBNEHJNM_00995	CDS	105				hypothetical protein
MBNEHJNM_00996	CDS	1116	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
MBNEHJNM_00997	CDS	744	cobB	3.5.1.-	COG0846	NAD-dependent protein deacetylase
MBNEHJNM_00998	CDS	849	pgdA_2	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
MBNEHJNM_00999	CDS	852	dat	2.6.1.21		D-alanine aminotransferase
MBNEHJNM_01000	CDS	507	betI		COG1309	HTH-type transcriptional regulator BetI
MBNEHJNM_01001	CDS	552				hypothetical protein
MBNEHJNM_01002	CDS	501	nhaX		COG0589	Stress response protein NhaX
MBNEHJNM_01003	CDS	105				hypothetical protein
MBNEHJNM_01004	CDS	1758	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
MBNEHJNM_01005	CDS	2022	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
MBNEHJNM_01006	CDS	621	asd_1	1.2.1.11		Aspartate-semialdehyde dehydrogenase
MBNEHJNM_01007	CDS	126				hypothetical protein
MBNEHJNM_01008	CDS	207				Small, acid-soluble spore protein 2
MBNEHJNM_01009	CDS	207				hypothetical protein
MBNEHJNM_01010	CDS	1359	yheD_1			Endospore coat-associated protein YheD
MBNEHJNM_01011	CDS	1092	yheD_2			Endospore coat-associated protein YheD
MBNEHJNM_01012	CDS	1134				hypothetical protein
MBNEHJNM_01013	CDS	351				hypothetical protein
MBNEHJNM_01014	CDS	1140	yhaZ		COG4335	putative protein YhaZ
MBNEHJNM_01015	CDS	867	yhaX		COG0561	Stress response protein YhaX
MBNEHJNM_01016	CDS	1503	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
MBNEHJNM_01017	CDS	1290	iucD	1.14.13.59	COG3486	L-lysine N6-monooxygenase
MBNEHJNM_01018	CDS	1215	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
MBNEHJNM_01019	CDS	498	khtT_1		COG0490	K(+)/H(+) antiporter subunit KhtT
MBNEHJNM_01020	CDS	354	khtS			K(+)/H(+) antiporter modulator KhtS
MBNEHJNM_01021	CDS	768	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
MBNEHJNM_01022	CDS	186				hypothetical protein
MBNEHJNM_01023	CDS	897	natA		COG4555	ABC transporter ATP-binding protein NatA
MBNEHJNM_01024	CDS	1260	yhaP		COG1668	putative protein YhaP
MBNEHJNM_01025	CDS	1224	yhaO		COG0420	putative metallophosphoesterase YhaO
MBNEHJNM_01026	CDS	2883	yhaN		COG4717	putative protein YhaN
MBNEHJNM_01027	CDS	945	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
MBNEHJNM_01028	CDS	228	yhaL			Sporulation protein YhaL
MBNEHJNM_01029	CDS	852	prsA	5.2.1.8	COG0760	Foldase protein PrsA
MBNEHJNM_01030	CDS	531				hypothetical protein
MBNEHJNM_01031	CDS	333	yhaI			putative protein YhaI
MBNEHJNM_01032	CDS	612	hpr		COG1846	HTH-type transcriptional regulator Hpr
MBNEHJNM_01033	CDS	357				hypothetical protein
MBNEHJNM_01034	CDS	180				hypothetical protein
MBNEHJNM_01035	CDS	519	trpP			putative tryptophan transport protein
MBNEHJNM_01036	CDS	1080	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
MBNEHJNM_01037	CDS	438	hit		COG0537	Protein hit
MBNEHJNM_01038	CDS	744	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
MBNEHJNM_01039	CDS	1227				hypothetical protein
MBNEHJNM_01040	CDS	705				hypothetical protein
MBNEHJNM_01041	CDS	1188	amaA	3.5.1.14		N-acyl-L-amino acid amidohydrolase
MBNEHJNM_01042	CDS	1386				hypothetical protein
MBNEHJNM_01043	CDS	501	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
MBNEHJNM_01044	CDS	2142	pbpF		COG0744	Penicillin-binding protein 1F
MBNEHJNM_01045	CDS	1113	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
MBNEHJNM_01046	CDS	936	hemH	4.99.1.1	COG0276	Ferrochelatase
MBNEHJNM_01047	CDS	1434	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
MBNEHJNM_01048	CDS	573	bm3R1_1			HTH-type transcriptional repressor Bm3R1
MBNEHJNM_01049	CDS	2334	esaA			ESAT-6 secretion accessory factor EsaA
MBNEHJNM_01050	CDS	978	fabHB	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
MBNEHJNM_01051	CDS	222				hypothetical protein
MBNEHJNM_01052	CDS	1041	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
MBNEHJNM_01053	CDS	1290	gltT			Proton/sodium-glutamate symport protein
MBNEHJNM_01054	CDS	735			COG1234	putative protein
MBNEHJNM_01055	CDS	996	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
MBNEHJNM_01056	CDS	645	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
MBNEHJNM_01057	CDS	1542	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MBNEHJNM_01058	CDS	396				hypothetical protein
MBNEHJNM_01059	CDS	1251	htpX_1	3.4.24.-		Protease HtpX
MBNEHJNM_01060	CDS	1149	apr	3.4.21.62	COG1404	Subtilisin BPN'
MBNEHJNM_01061	CDS	879	yhfQ		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
MBNEHJNM_01062	CDS	576	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
MBNEHJNM_01063	CDS	1092	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
MBNEHJNM_01064	CDS	1437	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
MBNEHJNM_01065	CDS	558	bioY_1		COG1268	putative biotin transporter BioY
MBNEHJNM_01066	CDS	1293	hemAT		COG0840	Heme-based aerotactic transducer HemAT
MBNEHJNM_01067	CDS	1524	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MBNEHJNM_01068	CDS	858	ydaD_3	1.-.-.-		General stress protein 39
MBNEHJNM_01069	CDS	234				hypothetical protein
MBNEHJNM_01070	CDS	579	comK		COG4903	Competence transcription factor
MBNEHJNM_01071	CDS	369	fra_1		COG5646	Intracellular iron chaperone frataxin
MBNEHJNM_01072	CDS	372	fra_2		COG5646	Intracellular iron chaperone frataxin
MBNEHJNM_01073	CDS	510				hypothetical protein
MBNEHJNM_01074	CDS	711	yncM			putative protein YncM
MBNEHJNM_01075	CDS	270				hypothetical protein
MBNEHJNM_01076	CDS	336				hypothetical protein
MBNEHJNM_01077	CDS	1470	yodF_1		COG0591	putative symporter YodF
MBNEHJNM_01078	CDS	201				hypothetical protein
MBNEHJNM_01079	CDS	360				hypothetical protein
MBNEHJNM_01080	CDS	627	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
MBNEHJNM_01081	CDS	516	sipV	3.4.21.89	COG0681	Signal peptidase I V
MBNEHJNM_01082	CDS	1479	otcC	1.14.13.38		Anhydrotetracycline monooxygenase
MBNEHJNM_01083	CDS	522				hypothetical protein
MBNEHJNM_01084	CDS	1158				hypothetical protein
MBNEHJNM_01085	CDS	1197	tetA_1			Tetracycline resistance protein, class B
MBNEHJNM_01086	CDS	621	qacR			HTH-type transcriptional regulator QacR
MBNEHJNM_01087	CDS	510				hypothetical protein
MBNEHJNM_01088	CDS	711				hypothetical protein
MBNEHJNM_01089	CDS	3501	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
MBNEHJNM_01090	CDS	3705	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
MBNEHJNM_01091	CDS	1173	sbcD		COG0420	Nuclease SbcCD subunit D
MBNEHJNM_01092	CDS	3393			COG0419	putative DNA double-strand break repair Rad50 ATPase
MBNEHJNM_01093	CDS	294				hypothetical protein
MBNEHJNM_01094	CDS	219	gerPF_2			putative spore germination protein GerPF
MBNEHJNM_01095	CDS	396	gerPE			putative spore germination protein GerPE
MBNEHJNM_01096	CDS	177	gerPD			putative spore germination protein GerPD
MBNEHJNM_01097	CDS	618	gerPC			putative spore germination protein GerPC
MBNEHJNM_01098	CDS	237	gerPB			putative spore germination protein GerPB
MBNEHJNM_01099	CDS	222	gerPA			putative spore germination protein GerPA
MBNEHJNM_01100	CDS	216	yisI	3.1.3.-		Aspartyl-phosphate phosphatase YisI
MBNEHJNM_01101	CDS	906	yisK		COG0179	putative protein YisK
MBNEHJNM_01102	CDS	357				hypothetical protein
MBNEHJNM_01103	CDS	543				hypothetical protein
MBNEHJNM_01104	CDS	1842	asnO	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
MBNEHJNM_01105	CDS	741	yisP	2.5.1.-	COG1562	Putative phytoene/squalene synthase YisP
MBNEHJNM_01106	CDS	1368	yeeO		COG0534	putative FMN/FAD exporter YeeO
MBNEHJNM_01107	CDS	864	araC			Arabinose operon regulatory protein
MBNEHJNM_01108	CDS	495				hypothetical protein
MBNEHJNM_01109	CDS	627				hypothetical protein
MBNEHJNM_01110	CDS	441		2.3.1.-		Acetyltransferase
MBNEHJNM_01111	CDS	1842	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
MBNEHJNM_01112	CDS	492				hypothetical protein
MBNEHJNM_01113	CDS	849	cvfB			Conserved virulence factor B
MBNEHJNM_01114	CDS	978	tmpC_1		COG1744	Membrane lipoprotein TmpC
MBNEHJNM_01115	CDS	1650	mcpA_1		COG0840	Methyl-accepting chemotaxis protein McpA
MBNEHJNM_01116	CDS	1251	cypC	1.11.2.4	COG2124	Fatty-acid peroxygenase
MBNEHJNM_01117	CDS	123				hypothetical protein
MBNEHJNM_01118	CDS	852			COG1307	Fatty acid-binding protein
MBNEHJNM_01119	CDS	843				hypothetical protein
MBNEHJNM_01120	CDS	462	ipi			Intracellular proteinase inhibitor
MBNEHJNM_01121	CDS	198				hypothetical protein
MBNEHJNM_01122	CDS	150				hypothetical protein
MBNEHJNM_01123	CDS	813	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
MBNEHJNM_01124	CDS	768				hypothetical protein
MBNEHJNM_01125	CDS	309	sufT			Fe-S protein maturation auxiliary factor SufT
MBNEHJNM_01126	CDS	444	fosB2	2.5.1.-	COG0346	Metallothiol transferase FosB 2
MBNEHJNM_01127	CDS	1437	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
MBNEHJNM_01128	CDS	543	mdtG			Multidrug resistance protein MdtG
MBNEHJNM_01129	CDS	1038	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
MBNEHJNM_01130	CDS	1218	argJ			Arginine biosynthesis bifunctional protein ArgJ
MBNEHJNM_01131	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
MBNEHJNM_01132	CDS	1158	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
MBNEHJNM_01133	CDS	1059	carA_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific small chain
MBNEHJNM_01134	CDS	3096	carB_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific large chain
MBNEHJNM_01135	CDS	972	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
MBNEHJNM_01136	CDS	180				hypothetical protein
MBNEHJNM_01137	CDS	186				hypothetical protein
MBNEHJNM_01138	CDS	735				hypothetical protein
MBNEHJNM_01139	CDS	567				hypothetical protein
MBNEHJNM_01140	CDS	861				Purine-binding protein
MBNEHJNM_01141	CDS	192				hypothetical protein
MBNEHJNM_01142	CDS	219				hypothetical protein
MBNEHJNM_01143	CDS	939	fabHA	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1
MBNEHJNM_01144	CDS	1239	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
MBNEHJNM_01145	CDS	786				hypothetical protein
MBNEHJNM_01146	CDS	987	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
MBNEHJNM_01147	CDS	990	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
MBNEHJNM_01148	CDS	1629	appA			Oligopeptide-binding protein AppA
MBNEHJNM_01149	CDS	951	dppB_1		COG0601	Dipeptide transport system permease protein DppB
MBNEHJNM_01150	CDS	915	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
MBNEHJNM_01151	CDS	753				hypothetical protein
MBNEHJNM_01152	CDS	993	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
MBNEHJNM_01153	CDS	1635	oppA		COG4166	Oligopeptide-binding protein OppA
MBNEHJNM_01154	CDS	936	oppB		COG0601	Oligopeptide transport system permease protein OppB
MBNEHJNM_01155	CDS	918	oppC_2		COG1173	Oligopeptide transport system permease protein OppC
MBNEHJNM_01156	CDS	1077	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
MBNEHJNM_01157	CDS	918	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
MBNEHJNM_01158	CDS	1197				hypothetical protein
MBNEHJNM_01159	CDS	579	yjbC	2.3.1.-		Putative acetyltransferase YjbC
MBNEHJNM_01160	CDS	396	spxA		COG1393	Regulatory protein Spx
MBNEHJNM_01161	CDS	657				hypothetical protein
MBNEHJNM_01162	CDS	750	mecA		COG4862	Adapter protein MecA 1
MBNEHJNM_01163	CDS	1161	coiA		COG4469	Competence protein CoiA
MBNEHJNM_01164	CDS	2061	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
MBNEHJNM_01165	CDS	168				hypothetical protein
MBNEHJNM_01166	CDS	903				hypothetical protein
MBNEHJNM_01167	CDS	399	yjbI		COG2346	Group 2 truncated hemoglobin YjbI
MBNEHJNM_01168	CDS	687	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
MBNEHJNM_01169	CDS	573	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
MBNEHJNM_01170	CDS	366				hypothetical protein
MBNEHJNM_01171	CDS	204	yjbM_1	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
MBNEHJNM_01172	CDS	477	yjbM_2	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
MBNEHJNM_01173	CDS	801	ppnKA	2.7.1.23	COG0061	NAD kinase 1
MBNEHJNM_01174	CDS	894	rluD_2	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
MBNEHJNM_01175	CDS	750	prpE	3.6.1.17	COG0639	Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical]
MBNEHJNM_01176	CDS	1845	napA			Na(+)/H(+) antiporter
MBNEHJNM_01177	CDS	711	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
MBNEHJNM_01178	CDS	618	tenI	5.3.99.10	COG0352	Thiazole tautomerase
MBNEHJNM_01179	CDS	1110	thiO_1	1.4.3.19	COG0665	Glycine oxidase
MBNEHJNM_01180	CDS	204	thiS		COG2104	Sulfur carrier protein ThiS
MBNEHJNM_01181	CDS	765	thiG	2.8.1.10	COG2022	Thiazole synthase
MBNEHJNM_01182	CDS	1011	ttuC_1	2.7.7.80	COG0476	Sulfur carrier protein adenylyltransferase
MBNEHJNM_01183	CDS	813	thiD_2	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
MBNEHJNM_01184	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
MBNEHJNM_01185	CDS	609				hypothetical protein
MBNEHJNM_01186	CDS	444	cotZ			Spore coat protein Z
MBNEHJNM_01187	CDS	483	cotY			Spore coat protein Y
MBNEHJNM_01188	CDS	501	cotX			Spore coat protein X
MBNEHJNM_01189	CDS	312	cotW			Spore coat protein W
MBNEHJNM_01190	CDS	387	cotV			Spore coat protein V
MBNEHJNM_01191	CDS	357	yjcA_1			Sporulation protein YjcA
MBNEHJNM_01192	CDS	198				hypothetical protein
MBNEHJNM_01193	CDS	162				hypothetical protein
MBNEHJNM_01194	CDS	255				hypothetical protein
MBNEHJNM_01195	CDS	2286	yjcD	3.6.4.12	COG0210	Putative ATP-dependent DNA helicase YjcD
MBNEHJNM_01196	CDS	255				hypothetical protein
MBNEHJNM_01197	CDS	750	blm	3.5.2.6		Metallo-beta-lactamase type 2
MBNEHJNM_01198	CDS	723				hypothetical protein
MBNEHJNM_01199	CDS	738	drrA_3	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
MBNEHJNM_01200	CDS	234				hypothetical protein
MBNEHJNM_01201	CDS	432	yjcF	2.3.1.-		putative N-acetyltransferase YjcF
MBNEHJNM_01202	CDS	516	yjcG	3.1.-.-	COG1514	Putative phosphoesterase YjcG
MBNEHJNM_01203	CDS	723	ybbA_2		COG2819	putative protein YbbA
MBNEHJNM_01204	CDS	1122	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
MBNEHJNM_01205	CDS	1176	metC	4.4.1.8	COG0626	Cystathionine beta-lyase MetC
MBNEHJNM_01206	tRNA	75				tRNA-Val(gac)
MBNEHJNM_01207	CDS	291				hypothetical protein
MBNEHJNM_01208	CDS	1359	yokI_1	3.1.-.-		putative ribonuclease YokI
MBNEHJNM_01209	CDS	255				hypothetical protein
MBNEHJNM_01210	CDS	987				hypothetical protein
MBNEHJNM_01211	CDS	873				hypothetical protein
MBNEHJNM_01212	CDS	237				hypothetical protein
MBNEHJNM_01213	CDS	210				hypothetical protein
MBNEHJNM_01214	CDS	336				hypothetical protein
MBNEHJNM_01215	CDS	1839	yokI_2	3.1.-.-		putative ribonuclease YokI
MBNEHJNM_01216	CDS	549				hypothetical protein
MBNEHJNM_01217	CDS	231				hypothetical protein
MBNEHJNM_01218	CDS	174				hypothetical protein
MBNEHJNM_01219	CDS	699				hypothetical protein
MBNEHJNM_01220	CDS	111				hypothetical protein
MBNEHJNM_01221	CDS	363				hypothetical protein
MBNEHJNM_01222	CDS	915	penP	3.5.2.6	COG2367	Beta-lactamase
MBNEHJNM_01223	CDS	282	yjcS		COG1359	putative protein YjcS
MBNEHJNM_01224	CDS	1413	emrB_3			Multidrug export protein EmrB
MBNEHJNM_01225	CDS	474				hypothetical protein
MBNEHJNM_01226	CDS	1113	ganB	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
MBNEHJNM_01227	CDS	1500	galT_1	2.7.7.12		Galactose-1-phosphate uridylyltransferase
MBNEHJNM_01228	CDS	993	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
MBNEHJNM_01229	CDS	1170	galK_1	2.7.1.6	COG0153	Galactokinase
MBNEHJNM_01230	CDS	1698	lacE			PTS system lactose-specific EIICB component
MBNEHJNM_01231	CDS	315	lacF_1			PTS system lactose-specific EIIA component
MBNEHJNM_01232	CDS	1401	lacG	3.2.1.85	COG2723	6-phospho-beta-galactosidase
MBNEHJNM_01233	CDS	768	lacR_1			Lactose phosphotransferase system repressor
MBNEHJNM_01234	CDS	684	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
MBNEHJNM_01235	CDS	1191	nanM	5.1.3.24		N-acetylneuraminate epimerase
MBNEHJNM_01236	CDS	333				hypothetical protein
MBNEHJNM_01237	CDS	636	sapB_2		COG1285	Protein SapB
MBNEHJNM_01238	CDS	234				hypothetical protein
MBNEHJNM_01239	CDS	174	yjfB			putative protein YjfB
MBNEHJNM_01240	CDS	402				hypothetical protein
MBNEHJNM_01241	CDS	570	yjgB			putative protein YjgB
MBNEHJNM_01242	CDS	2991		1.17.1.9		Putative formate dehydrogenase
MBNEHJNM_01243	CDS	543				hypothetical protein
MBNEHJNM_01244	CDS	1218	yjiB_1	1.14.-.-	COG2124	Putative cytochrome P450 YjiB
MBNEHJNM_01245	CDS	1188	oleD_1	2.4.1.-		Oleandomycin glycosyltransferase
MBNEHJNM_01246	CDS	186				hypothetical protein
MBNEHJNM_01247	CDS	807				hypothetical protein
MBNEHJNM_01248	CDS	762	fetB		COG0390	putative iron export permease protein FetB
MBNEHJNM_01249	CDS	738	pstB3_1	3.6.3.27	COG1117	Phosphate import ATP-binding protein PstB 3
MBNEHJNM_01250	CDS	984				hypothetical protein
MBNEHJNM_01251	CDS	498				hypothetical protein
MBNEHJNM_01252	CDS	417	yjlC		COG2427	putative protein YjlC
MBNEHJNM_01253	CDS	1179	yjlD	1.6.99.-	COG1252	NADH dehydrogenase-like protein YjlD
MBNEHJNM_01254	CDS	1398	uxaC	5.3.1.12	COG1904	Uronate isomerase
MBNEHJNM_01255	CDS	1386	yjmB		COG2211	putative symporter YjmB
MBNEHJNM_01256	CDS	999	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
MBNEHJNM_01257	CDS	1446	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
MBNEHJNM_01258	CDS	1494	uxaA	4.2.1.7	COG2721	Altronate dehydratase
MBNEHJNM_01259	CDS	765				hypothetical protein
MBNEHJNM_01260	CDS	468	yjoA_2		COG2318	putative protein YjoA
MBNEHJNM_01261	CDS	1131	rapA_1	3.1.-.-	COG0457	Response regulator aspartate phosphatase A
MBNEHJNM_01262	CDS	135				hypothetical protein
MBNEHJNM_01263	CDS	954	cwlA	3.5.1.28	COG3409	N-acetylmuramoyl-L-alanine amidase CwlA
MBNEHJNM_01264	CDS	378				hypothetical protein
MBNEHJNM_01265	CDS	606				hypothetical protein
MBNEHJNM_01266	CDS	591				hypothetical protein
MBNEHJNM_01267	CDS	339	xre_1		COG1396	HTH-type transcriptional regulator Xre
MBNEHJNM_01268	CDS	180				hypothetical protein
MBNEHJNM_01269	CDS	165				hypothetical protein
MBNEHJNM_01270	CDS	801	dnaA_2			Chromosomal replication initiator protein DnaA
MBNEHJNM_01271	CDS	168				hypothetical protein
MBNEHJNM_01272	CDS	342				hypothetical protein
MBNEHJNM_01273	CDS	204				hypothetical protein
MBNEHJNM_01274	CDS	513				hypothetical protein
MBNEHJNM_01275	CDS	234				hypothetical protein
MBNEHJNM_01276	CDS	849				hypothetical protein
MBNEHJNM_01277	CDS	372				hypothetical protein
MBNEHJNM_01278	CDS	198				hypothetical protein
MBNEHJNM_01279	CDS	762				hypothetical protein
MBNEHJNM_01280	CDS	264				hypothetical protein
MBNEHJNM_01281	CDS	264				hypothetical protein
MBNEHJNM_01282	CDS	879	xlyA	3.5.1.28	COG1388	N-acetylmuramoyl-L-alanine amidase XlyA
MBNEHJNM_01283	CDS	171	spoIISB			Stage II sporulation protein SB
MBNEHJNM_01284	CDS	747	spoIISA			Stage II sporulation protein SA
MBNEHJNM_01285	CDS	999	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
MBNEHJNM_01286	CDS	618				hypothetical protein
MBNEHJNM_01287	CDS	1317	steT		COG0531	Serine/threonine exchanger SteT
MBNEHJNM_01288	CDS	951	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
MBNEHJNM_01289	CDS	2142				hypothetical protein
MBNEHJNM_01290	CDS	972		2.4.-.-		putative glycosyltransferase
MBNEHJNM_01291	CDS	177				hypothetical protein
MBNEHJNM_01292	CDS	1353	htrA_1	3.4.21.107	COG0265	Serine protease Do-like HtrA
MBNEHJNM_01293	CDS	1560	hsrA			putative transport protein HsrA
MBNEHJNM_01294	CDS	120				hypothetical protein
